अँग	a mq g a
ब्रिनिलसन	b a r a i n a i l a s a n a
ब्रीच	b a r a ii c a
ब्रीडिंग	b a r a ii dx a i q g a
ब्रेंता	b a r a ee q t a aa
ब्रेकफ़ास्ट	b a r a ee k a f a aa s a tx a
ब्रेन	b a r a ee n a
ब्रेष्ट	b a r a ee sx a tx a
ब्रेसवेल	b a r a ee s a w a ee l a
ब्रैडमैन	b a r a ei dx a m a ei n a
ब्रॉड	b a r a dx a
ब्लडप्रेशर	b a l a dx a p a r a ee sh a r a
ब्लाक	b a l a aa k a
ब्लास्टर	b a l a aa s a tx a r a
ब्लास्ट्स	b a l a aa s a tx a s a
ब्लीचिंग	b a l a ii c a i q g a
ब्लैक	b a l a ei k a
ब्लैकबेरी	b a l a ei k a b a ee r a ii
ब्लॉग	b a l a g a
भंग	bh a q g a
भंगिमा	bh a q g a i m a aa
भंगुर	bh a q g a u r a
भंडार	bh a q dx a aa r a
भंडारित	bh a q dx a aa r a i t a
भंडारी	bh a q dx a aa r a ii
भंडारों	bh a q dx a aa r a o q
भंवर	bh a q w a r a
भइया	bh a i y a aa
भई	bh a ii
भकूट	bh a k a uu tx a
भक्	bh a k a
भक्तजनों	bh a k a t a j a n a o q
भक्ति	bh a k a t a i
भक्तों	bh a k a t a o q
भगत	bh a g a t a
भगवंतपुरा	bh a g a w a q t a p a u r a aa
भगवन	bh a g a w a n a
भगवान	bh a g a w a aa n a
भगवान्	bh a g a w a aa n a
भगा	bh a g a aa
भगाएं	bh a g a aa ee q
भगौनी	bh a g a ou n a ii
भजन	bh a j a n a
भज्जी	bh a j a j a ii
भटकता	bh a tx a k a t a aa
भटकते	bh a tx a k a t a ee
भट्टाचार्य	bh a tx a tx a aa c a aa r a y a
भट्ठियां	bh a tx a txh a i y a aa q
भडकीले	bh a dx a k a ii l a ee
भड़क	bh a dxq a k a
भड़काऊ	bh a dxq a k a aa uu
भड़काते	bh a dxq a k a aa t a ee
भड़काने	bh a dxq a k a aa n a ee
भतीजे	bh a t a ii j a ee
भत्ता	bh a t a t a aa
भद्दा	bh a d a d a aa
भभका	bh a bh a k a aa
भय	bh a y a
भयंकर	bh a y a q k a r a
भयभीत	bh a y a bh a ii t a
भयवाह	bh a y a w a aa h a
भयानक	bh a y a aa n a k a
भयावह	bh a y a aa w a h a
भर	bh a r a
भरकर	bh a r a k a r a
भरण	bh a r a nx a
भरणपोषण	bh a r a nx a p a o sx a nx a
भरत	bh a r a t a
भरता	bh a r a t a aa
भरती	bh a r a t a ii
भरने	bh a r a n a ee
भरपूर	bh a r a p a uu r a
भरपेट	bh a r a p a ee tx a
भरम	bh a r a m a
भरमार	bh a r a m a aa r a
भरवाया	bh a r a w a aa y a aa
भरा	bh a r a aa
भरी	bh a r a ii
भरे	bh a r a ee
भरें	bh a r a ee q
भरेगा	bh a r a ee g a aa
भरोसा	bh a r a o s a aa
भरोसे	bh a r a o s a ee
भर्ती	bh a r a t a ii
भऱे	bh a ee
भला	bh a l a aa
भलाई	bh a l a aa ii
भली	bh a l a ii
भलीभाँति	bh a l a ii bh a aa mq t a i
भले	bh a l a ee
भलेबुरे	bh a l a ee b a u r a ee
भवन	bh a w a n a
भवननुमा	bh a w a n a n a u m a aa
भविष्य	bh a w a i sx a y a
भव्य	bh a w a y a
भस्म	bh a s a m a
भस्मासुर	bh a s a m a aa s a u r a
भाँति	bh a aa mq t a i
भाँप	bh a aa mq p a
भांजी	bh a aa q j a ii
भांडाफोड़	bh a aa q dx a aa ph a o dxq a
भांति	bh a aa q t a i
भांप	bh a aa q p a
भाइयों	bh a aa i y a o q
भाई	bh a aa ii
भाईजान	bh a aa ii j a aa n a
भाईयों	bh a aa ii y a o q
भाकपा	bh a aa k a p a aa
भाग	bh a aa g a
भागता	bh a aa g a t a aa
भागते	bh a aa g a t a ee
भागदौड़	bh a aa g a d a ou dxq a
भागना	bh a aa g a n a aa
भागने	bh a aa g a n a ee
भागवत	bh a aa g a w a t a
भाग़	bh a aa gq a
भागा	bh a aa g a aa
भागी	bh a aa g a ii
भागीदार	bh a aa g a ii d a aa r a
भागूं	bh a aa g a uu q
भागे	bh a aa g a ee
भाग्य	bh a aa g a y a
भाग्यवादी	bh a aa g a y a w a aa d a ii
भाग्यशाली	bh a aa g a y a sh a aa l a ii
भाजपा	bh a aa j a p a aa
भाजियाँ	bh a aa j a i y a aa mq
भाटिया	bh a aa tx a i y a aa
भाड	bh a aa dx a
भाड़ा	bh a aa dxq a aa
भाड़ों	bh a aa dxq a o q
भाते	bh a aa t a ee
भाद्रपद	bh a aa d a r a p a d a
भाभी	bh a aa bh a ii
भार	bh a aa r a
भारत	bh a aa r a t a
भारतपाक	bh a aa r a t a p a aa k a
भारतश्रेष्ठ	bh a aa r a t a sh a r a ee sx a txh a
भारती	bh a aa r a t a ii
भारतीय	bh a aa r a t a ii y a
भारतीयता	bh a aa r a t a ii y a t a aa
भारतीयों	bh a aa r a t a ii y a o q
भारद्वाज	bh a aa r a d a w a aa j a
भारी	bh a aa r a ii
भारीभरकम	bh a aa r a ii bh a r a k a m a
भारीभारी	bh a aa r a ii bh a aa r a ii
भाल	bh a aa l a
भाव	bh a aa w a
भावना	bh a aa w a n a aa
भावनाएं	bh a aa w a n a aa ee q
भावनाओं	bh a aa w a n a aa o q
भावनात्मक	bh a aa w a n a aa t a m a k a
भावस्थ	bh a aa w a s a th a
भावी	bh a aa w a ii
भावुक	bh a aa w a u k a
भावों	bh a aa w a o q
भाषण	bh a aa sx a nx a
भाषणों	bh a aa sx a nx a o q
भाषा	bh a aa sx a aa
भाषाऍं	bh a aa sx a aa q
भाषाओँ	bh a aa sx a aa o mq
भाषाओं	bh a aa sx a aa o q
भाषिक	bh a aa sx a i k a
भाष्यकार	bh a aa sx a y a k a aa r a
भास्कर	bh a aa s a k a r a
भिक्षा	bh a i k a sx a aa
भिक्षु	bh a i k a sx a u
भिखरिया	bh a i kh a r a i y a aa
भिगो	bh a i g a o
भिगोने	bh a i g a o n a ee
भिजवा	bh a i j a w a aa
भिजवायी	bh a i j a w a aa y a ii
भिडऩा	bh a i dx a aa
भिडऩे	bh a i dx a ee
भित्ति	bh a i t a t a i
भिन्न	bh a i n a n a
भिलाई	bh a i l a aa ii
भी	bh a ii
भीख	bh a ii kh a
भीग	bh a ii g a
भीगा	bh a ii g a aa
भीगी	bh a ii g a ii
भीड़	bh a ii dxq a
भीतर	bh a ii t a r a
भीतरी	bh a ii t a r a ii
भीम	bh a ii m a
भीषण	bh a ii sx a nx a
भीष्म	bh a ii sx a m a
भुखमरी	bh a u kh a m a r a ii
भुगतना	bh a u g a t a n a aa
भुगतने	bh a u g a t a n a ee
भुगतान	bh a u g a t a aa n a
भुजाएं	bh a u j a aa ee q
भुजाओं	bh a u j a aa o q
भुज्जी	bh a u j a j a ii
भुट्	bh a u tx a
भुट्टो	bh a u tx a tx a o
भुपिन्दर	bh a u p a i n a d a r a
भुरभुराकर	bh a u r a bh a u r a aa k a r a
भूइयां	bh a uu i y a aa q
भूकंप	bh a uu k a q p a
भूकम्पलेखी	bh a uu k a m a p a l a ee kh a ii
भूख	bh a uu kh a
भूखप्यास	bh a uu kh a p a y a aa s a
भूखा	bh a uu kh a aa
भूखे	bh a uu kh a ee
भूगोल	bh a uu g a o l a
भूचाल	bh a uu c a aa l a
भूत	bh a uu t a
भूतपूर्व	bh a uu t a p a uu r a w a
भूतहा	bh a uu t a h a aa
भूतों	bh a uu t a o q
भूदृश्य	bh a uu d a rq sh a y a
भूपर्पटी	bh a uu p a r a p a tx a ii
भूपेंद्र	bh a uu p a ee q d a r a
भूमि	bh a uu m a i
भूमिः	bh a uu m a i hq
भूमिका	bh a uu m a i k a aa
भूमिकाऍं	bh a uu m a i k a aa q
भूमिगत	bh a uu m a i g a t a
भूमिसुधारोँ	bh a uu m a i s a u dh a aa r a o mq
भूरा	bh a uu r a aa
भूरिश्रवा	bh a uu r a i sh a r a w a aa
भूरे	bh a uu r a ee
भूरेलाल	bh a uu r a ee l a aa l a
भूल	bh a uu l a
भूलते	bh a uu l a t a ee
भूला	bh a uu l a aa
भूली	bh a uu l a ii
भूले	bh a uu l a ee
भूलें	bh a uu l a ee q
भूलो	bh a uu l a o
भूषण	bh a uu sx a nx a
भूसा	bh a uu s a aa
भूस्वामी	bh a uu s a w a aa m a ii
भृगुकुल	bh a rq g a u k a u l a
भेंट	bh a ee q tx a
भेंटे	bh a ee q tx a ee
भेज	bh a ee j a
भेजकर	bh a ee j a k a r a
भेजता	bh a ee j a t a aa
भेजती	bh a ee j a t a ii
भेजना	bh a ee j a n a aa
भेजने	bh a ee j a n a ee
भेजा	bh a ee j a aa
भेजी	bh a ee j a ii
भेजे	bh a ee j a ee
भेजेगी	bh a ee j a ee g a ii
भेजो	bh a ee j a o
भेड़ियाचाल	bh a ee dxq a i y a aa c a aa l a
भेड़िये	bh a ee dxq a i y a ee
भेड़ियों	bh a ee dxq a i y a o q
भेड़ों	bh a ee dxq a o q
भेद	bh a ee d a
भेदज्ञान	bh a ee d a j a nj a aa n a
भेदप्राण	bh a ee d a p a r a aa nx a
भेदभाव	bh a ee d a bh a aa w a
भेदात्मक	bh a ee d a aa t a m a k a
भेल	bh a ee l a
भेलवाघाटी	bh a ee l a w a aa gh a aa tx a ii
भेषजज्ञों	bh a ee sx a j a j a nj a o q
भैंस	bh a ei q s a
भैंसों	bh a ei q s a o q
भैया	bh a ei y a aa
भैयाबहन	bh a ei y a aa b a h a n a
भैरव	bh a ei r a w a
भैरों	bh a ei r a o q
भोग	bh a o g a
भोगे	bh a o g a ee
भोग्यकाल	bh a o g a y a k a aa l a
भोज	bh a o j a
भोजन	bh a o j a n a
भोजनावकाश	bh a o j a n a aa w a k a aa sh a
भोजराज	bh a o j a r a aa j a
भोजामल	bh a o j a aa m a l a
भोज्य	bh a o j a y a
भोडे	bh a o dx a ee
भोर	bh a o r a
भोला	bh a o l a aa
भोलापन	bh a o l a aa p a n a
भोलाभोला	bh a o l a aa bh a o l a aa
भोलीभाली	bh a o l a ii bh a aa l a ii
भोले	bh a o l a ee
भौं	bh a ou q
भौंकते	bh a ou q k a t a ee
भौंरे	bh a ou q r a ee
भौका	bh a ou k a aa
भौचक्का	bh a ou c a k a k a aa
भौजाई	bh a ou j a aa ii
भौतिक	bh a ou t a i k a
भौतिकता	bh a ou t a i k a t a aa
भौतिकशास्त्र	bh a ou t a i k a sh a aa s a t a r a
भ्रम	bh a r a m a
भ्रमण	bh a r a m a nx a
भ्रमणरमण	bh a r a m a nx a r a m a nx a
भ्रमस्थलीय	bh a r a m a s a th a l a ii y a
भ्रष्ट	bh a r a sx a tx a
भ्रष्टाचार	bh a r a sx a tx a aa c a aa r a
भ्रष्टाचारीतत्व	bh a r a sx a tx a aa c a aa r a ii t a t a w a
भ्रूण	bh a r a uu nx a
भ्रूणावस्था	bh a r a uu nx a aa w a s a th a aa
भ्रूणों	bh a r a uu nx a o q
मँगवाइए	m a mq g a w a aa i ee
मँगवाया	m a mq g a w a aa y a aa
मँहतो	m a mq h a t a o
मं	m a q
मंगनी	m a q g a n a ii
मंगल	m a q g a l a
मंगलवार	m a q g a l a w a aa r a
मंगवाया	m a q g a w a aa y a aa
मंगाते	m a q g a aa t a ee
मंगी	m a q g a ii
मंगोलियन	m a q g a o l a i y a n a
मंच	m a q c a
मंचन	m a q c a n a
मंचित	m a q c a i t a
मंजय्या	m a q j a y a y a aa
मंज़िल	m a q z a i l a
मंजिल	m a q j a i l a
मंजुल	m a q j a u l a
मंजूर	m a q j a uu r a
मंजूरी	m a q j a uu r a ii
मंझले	m a q jh a l a ee
मंडरा	m a q dx a r a aa
मंडराई	m a q dx a r a aa ii
मंडल	m a q dx a l a
मंडी	m a q dx a ii
मंत्र	m a q t a r a
मंत्रमुग्ध	m a q t a r a m a u g a dh a
मंत्रालय	m a q t a r a aa l a y a
मंत्रिमंडल	m a q t a r a i m a q dx a l a
मंत्री	m a q t a r a ii
मंत्रीगण	m a q t a r a ii g a nx a
मंत्रों	m a q t a r a o q
मंद	m a q d a
मंदिर	m a q d a i r a
मंदिरों	m a q d a i r a o q
मंसूबे	m a q s a uu b a ee
मंसूर	m a q s a uu r a
मई	m a ii
मऊ	m a uu
मक	m a k a
मकबरे	m a k a b a r a ee
मकसद	m a k a s a d a
मक़तूल	m a kq a t a uu l a
मक़बरा	m a kq a b a r a aa
मक़बरे	m a kq a b a r a ee
मकांदो	m a k a aa q d a o
मकान	m a k a aa n a
मकानों	m a k a aa n a o q
मक्कू	m a k a k a uu
मक्खन	m a k a kh a n a
मक्खी	m a k a kh a ii
मखमुल्ला	m a kh a m a u l a l a aa
मगन	m a g a n a
मगर	m a g a r a
मगरमच्छ	m a g a r a m a c a ch a
मगऱ	m a g a
मग़फिरत	m a gq a ph a i r a t a
मग़रिब	m a gq a r a i b a
मङ्गला	m a ng a g a l a aa
मचने	m a c a n a ee
मचा	m a c a aa
मचाते	m a c a aa t a ee
मच्छर	m a c a ch a r a
मछलियाँ	m a ch a l a i y a aa mq
मछलियां	m a ch a l a i y a aa q
मछलियों	m a ch a l a i y a o q
मछली	m a ch a l a ii
मछलीखोर	m a ch a l a ii kh a o r a
मछुआरा	m a ch a u aa r a aa
मछुआरे	m a ch a u aa r a ee
मछुआरों	m a ch a u aa r a o q
मछुवारों	m a ch a u w a aa r a o q
मजदूर	m a j a d a uu r a
मजदूरी	m a j a d a uu r a ii
मजदूरों	m a j a d a uu r a o q
मजनूं	m a j a n a uu q
मजबूत	m a j a b a uu t a
मजबूती	m a j a b a uu t a ii
मजबूर	m a j a b a uu r a
मजबूरन	m a j a b a uu r a n a
मजबूरी	m a j a b a uu r a ii
मज़दूर	m a z a d a uu r a
मज़दूरी	m a z a d a uu r a ii
मज़बूत	m a z a b a uu t a
मज़बूती	m a z a b a uu t a ii
मज़बूरी	m a z a b a uu r a ii
मज़मे	m a z a m a ee
मज़हब	m a z a h a b a
मज़ा	m a z a aa
मज़ाक	m a z a aa k a
मज़े	m a z a ee
मजा	m a j a aa
मजाक	m a j a aa k a
मजूरों	m a j a uu r a o q
मजे	m a j a ee
मझले	m a jh a l a ee
मझौले	m a jh a ou l a ee
मठ	m a txh a
मठवासी	m a txh a w a aa s a ii
मठाधीशों	m a txh a aa dh a ii sh a o q
मडरासये	m a dx a r a aa s a y a ee
मढना	m a dxh a n a aa
मढऩे	m a dxh a ee
मढ़वाया	m a dxhq a w a aa y a aa
मढ़ाई	m a dxhq a aa ii
मणि	m a nx a i
मणिकर्ण	m a nx a i k a r a nx a
मणिपुर	m a nx a i p a u r a
मणिबन्ध	m a nx a i b a n a dh a
मण्डल	m a nx a dx a l a
मत	m a t a
मतंग	m a t a q g a
मतपत्रों	m a t a p a t a r a o q
मतलब	m a t a l a b a
मतवाला	m a t a w a aa l a aa
मतानुसार	m a t a aa n a u s a aa r a
मति	m a t a i
मती	m a t a ii
मत्थे	m a t a th a ee
मत्स्यावतार	m a t a s a y a aa w a t a aa r a
मथ	m a th a
मथुरा	m a th a u r a aa
मद	m a d a
मदद	m a d a d a
मददगार	m a d a d a g a aa r a
मदन	m a d a n a
मदनयष्टियों	m a d a n a y a sx a tx a i y a o q
मदरसे	m a d a r a s a ee
मदिखेडा	m a d a i kh a ee dx a aa
